match_id,home_team,away_team,score_90min,stage,match_date,is_extra_time,is_penalty,source,source_priority,source_url,confidence
M-1962-05,Soviet Union,Yugoslavia,2-0,group stage,1962-05-31 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-06,West Germany,Italy,0-0,group stage,1962-05-31 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-07,Czechoslovakia,Spain,1-0,group stage,1962-05-31 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-08,Hungary,England,2-1,group stage,1962-05-31 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-09,Yugoslavia,Uruguay,3-1,group stage,1962-06-02 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-10,Chile,Italy,2-0,group stage,1962-06-02 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-11,Brazil,Czechoslovakia,0-0,group stage,1962-06-02 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-12,England,Argentina,3-1,group stage,1962-06-02 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-13,Soviet Union,Colombia,4-4,group stage,1962-06-03 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-14,West Germany,Switzerland,2-1,group stage,1962-06-03 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-15,Spain,Mexico,1-0,group stage,1962-06-03 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-16,Hungary,Bulgaria,6-1,group stage,1962-06-03 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-17,Soviet Union,Uruguay,2-1,group stage,1962-06-06 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-18,West Germany,Chile,2-0,group stage,1962-06-06 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-19,Brazil,Spain,2-1,group stage,1962-06-06 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-20,Hungary,Argentina,0-0,group stage,1962-06-06 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-21,Yugoslavia,Colombia,5-0,group stage,1962-06-07 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-22,Italy,Switzerland,3-0,group stage,1962-06-07 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-23,Mexico,Czechoslovakia,3-1,group stage,1962-06-07 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-24,England,Bulgaria,0-0,group stage,1962-06-07 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-25,Brazil,England,3-1,quarter-finals,1962-06-10 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-26,Chile,Soviet Union,2-1,quarter-finals,1962-06-10 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-27,Czechoslovakia,Hungary,1-0,quarter-finals,1962-06-10 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-28,Yugoslavia,West Germany,1-0,quarter-finals,1962-06-10 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-29,Brazil,Chile,4-2,semi-finals,1962-06-13 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-30,Czechoslovakia,Yugoslavia,3-1,semi-finals,1962-06-13 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-31,Chile,Yugoslavia,1-0,third-place match,1962-06-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-32,Brazil,Czechoslovakia,3-1,final,1962-06-17 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-01,England,Uruguay,0-0,group stage,1966-07-11 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-02,West Germany,Switzerland,5-0,group stage,1966-07-12 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-03,Brazil,Bulgaria,2-0,group stage,1966-07-12 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-04,Soviet Union,North Korea,3-0,group stage,1966-07-12 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-05,France,Mexico,1-1,group stage,1966-07-13 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-06,Argentina,Spain,2-1,group stage,1966-07-13 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-07,Portugal,Hungary,3-1,group stage,1966-07-13 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-08,Italy,Chile,2-0,group stage,1966-07-13 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-09,Uruguay,France,2-1,group stage,1966-07-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-10,Spain,Switzerland,2-1,group stage,1966-07-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-11,Hungary,Brazil,3-1,group stage,1966-07-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-12,Chile,North Korea,1-1,group stage,1966-07-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-13,Argentina,West Germany,0-0,group stage,1966-07-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1966-14,Portugal,Bulgaria,2-1,group stage,1966-07-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
